9-s2.0-22975069200,National Oceanic and Atmospheric Administration,"Washington, D.C.",United States 
9-s2.0-22978765500,Colorado School of Mines,Golden,United States 
9-s2.0-22980135500,Universidad Autónoma del Estado de México,Toluca,Mexico 
9-s2.0-22982497600,Dalian University of Technology,Dalian,China 
9-s2.0-22984872200,Vrije Universiteit Brussel,Brussels,Belgium 
9-s2.0-23003424200,Istituto Italiano di Tecnologia,Genoa,Italy 
9-s2.0-23003948200,U.S. Army Night Vision &amp; Electronic Sensors Directorate,Fort Belvoir,United States 
9-s2.0-23005899200,Universität Hamburg,Hamburg,Germany 
9-s2.0-23009040500,"University of California, Berkeley",Berkeley,United States 
9-s2.0-23009658200,BRGM,Orleans,France 
9-s2.0-23010554900,Université Fédérale Toulouse Midi-Pyrénées,Toulouse,France 
9-s2.0-23015177100,University of Minnesota System, null,United States 
9-s2.0-23015547000,Johns Hopkins University Applied Physics Laboratory,Laurel,United States 
9-s2.0-23021302600,Argonne National Laboratory,Lemont,United States 
9-s2.0-23025751100,Academy of Sciences of the Czech Republic,Prague,Czech Republic 
9-s2.0-23079535700,Vrije Universiteit Brussel,Brussels,Belgium 
9-s2.0-23088044900,Technische Universität Dresden,Dresden,Germany 
9-s2.0-23092002300,Czech University of Life Sciences Prague,Prague,Czech Republic 
9-s2.0-23092757600,United States Military Academy at West Point,West Point,United States 
9-s2.0-23092909600,University of Notre Dame,Notre Dame,United States 
9-s2.0-23093108400,University of Notre Dame,Notre Dame,United States 
9-s2.0-23093132400,University of Cincinnati,Cincinnati,United States 
9-s2.0-23093185900,University of Notre Dame,Notre Dame,United States 
9-s2.0-23093549100,University of Notre Dame,Notre Dame,United States 
9-s2.0-23093612700,University of Notre Dame,Notre Dame,United States 
9-s2.0-23094609300,University of Notre Dame,Notre Dame,United States 
9-s2.0-23095174600,University of Science and Technology of China,Hefei,China 
9-s2.0-23095177400,University of Notre Dame,Notre Dame,United States 
9-s2.0-23095582800,Purdue University,West Lafayette,United States 
9-s2.0-23095935800,University of Notre Dame,Notre Dame,United States 
9-s2.0-23096688200,University of Notre Dame,Notre Dame,United States 
9-s2.0-23096981200,University of Notre Dame,Notre Dame,United States 
9-s2.0-23100108800,Queensland University of Technology QUT,Brisbane,Australia 
9-s2.0-23100489900,Tokyo Institute of Technology,Tokyo,Japan 
9-s2.0-23151130100,University of Notre Dame,Notre Dame,United States 
9-s2.0-23153331700,The University of Texas at Arlington,Arlington,United States 
9-s2.0-23167213800,Princeton University,Princeton,United States 
9-s2.0-23390358300,Utrecht University,Utrecht,Netherlands 
9-s2.0-23397842300,UNESP-Universidade Estadual Paulista,Sao Paulo,Brazil 
9-s2.0-23398583200,University of Illinois College of Medicine,Chicago,United States 
9-s2.0-23467371600,Universitas Indonesia,Depok,Indonesia 
9-s2.0-23471327800,University of Arkansas at Little Rock,Little Rock,United States 
9-s2.0-23484028800,Seoul National University,Seoul,South Korea 
9-s2.0-23570155900,The University of Texas at Austin,Austin,United States 
9-s2.0-23668099800,"ANSYS, Inc.",Canonsburg,United States 
9-s2.0-23969176400,The University of Texas at Austin,Austin,United States 
9-s2.0-23972853200,The Ohio State University,Columbus,United States 
